ID,name,category,gender,follower_count,platform
1,Norma Fisher,Beauty,F,26225,YouTube
2,Jorge Sullivan,Lifestyle,F,217302,YouTube
3,Elizabeth Woods,Beauty,F,310860,Instagram
4,Susan Wagner,Lifestyle,M,152764,Instagram
5,Peter Montgomery,Fitness,F,481969,Twitter
6,Theodore Mcgrath,Lifestyle,M,167606,Instagram
7,Stephanie Collins,Fitness,F,252538,Twitter
8,Stephanie Sutton,Fitness,F,232631,YouTube
9,Brian Hamilton,Lifestyle,M,294681,YouTube
10,Susan Levy,Beauty,F,37652,Twitter
11,Sean Green,Fitness,M,382332,YouTube
12,Kimberly Smith,Fitness,F,439143,YouTube
13,Jennifer Summers,Health,F,373911,Instagram
14,April Snyder,Health,M,130103,Instagram
15,Dana Nguyen,Lifestyle,F,52823,Instagram
16,Cheryl Bradley,Tech,F,62177,YouTube
17,Walter Pratt,Lifestyle,F,375441,Instagram
18,Bobby Flores,Lifestyle,F,432015,Twitter
19,Tasha Rodriguez,Health,F,238302,Instagram
20,Michelle Kelley,Lifestyle,F,171223,Twitter
